책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
생각하라 그리고 부자가 되어라,104196.0,9.4,16200.0,37.0,392.0,600.0,148*218*30mm,자기계발,2021-01-05,https://www.yes24.com//Product/Goods/96568463
고래 ,37677.0,9.8,14850.0,8.0,560.0,644.0,128*188*35mm,소설/시/희곡,2023-05-17,https://www.yes24.com//Product/Goods/118856232
아주 세속적인 지혜,65232.0,9.4,12150.0,37.0,332.0,416.0,125*188*20mm,자기계발,2023-03-24,https://www.yes24.com//Product/Goods/117933045
백앤아 2,52428.0,9.8,13500.0,28.0,132.0,392.0,148*210*15mm,어린이,2023-05-17,https://www.yes24.com//Product/Goods/118961351
5번 레인,181857.0,9.5,11250.0,74.0,240.0,442.0,153*220*14mm,어린이,2020-09-14,https://www.yes24.com//Product/Goods/92578889
"못 말리게 시끄럽고, 참을 수 없이 웃긴 철학책",12321.0,10.0,19800.0,6.0,552.0,728.0,140*220*28mm,인문,2023-06-08,https://www.yes24.com//Product/Goods/119289492
2024 전한길 한국사 합격생 필기노트,14679.0,10.0,13500.0,1.0,144.0,,297*210*20mm,수험서 자격증,2023-06-10,https://www.yes24.com//Product/Goods/119285309
수박 수영장 (어나더커버 특별판),96687.0,9.6,12600.0,181.0,60.0,422.0,190*260*15mm,유아,2015-07-27,https://www.yes24.com//Product/Goods/19427515
자본주의,56160.0,9.1,15300.0,117.0,388.0,710.0,153*224*30mm,경제 경영,2013-09-27,https://www.yes24.com//Product/Goods/11081680
2023 해커스 토익 RC 리딩(Reading) 토익 기본서 ,109971.0,10.0,16920.0,21.0,816.0,1640.0,188*257*33mm,국어 외국어 사전,2023-01-02,https://www.yes24.com//Product/Goods/116020437
인생의 열 가지 생각,24336.0,10.0,14400.0,1.0,228.0,,123*198*20mm,에세이,2023-06-10,https://www.yes24.com//Product/Goods/119291021
실전 매수매도 기법,45189.0,9.1,24300.0,8.0,376.0,770.0,170*235*23mm,경제 경영,2023-06-08,https://www.yes24.com//Product/Goods/118676664
