책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
난처한 동양미술 이야기 3 ,2760.0,,22500.0,,552.0,830.0,152*225*34mm,예술,2023-06-13,https://www.yes24.com//Product/Goods/119515200
퇴고의 힘,4122.0,10.0,13320.0,5.0,192.0,266.0,135*205*13mm,인문,2023-06-16,https://www.yes24.com//Product/Goods/119133194
나지의 다이어트 레시피 ,2610.0,,17100.0,,304.0,,190*250*30mm,가정 살림,2023-06-16,https://www.yes24.com//Product/Goods/119577616
카페보다 더 맛있는 카페 음료 ,2844.0,10.0,15930.0,3.0,208.0,,170*240*20mm,가정 살림,2023-06-14,https://www.yes24.com//Product/Goods/119513069
매일 굽고 싶은 아메리칸 쿠키 ,5226.0,10.0,15120.0,1.0,160.0,508.0,188*250*10mm,가정 살림,2023-06-15,https://www.yes24.com//Product/Goods/119456631
무조건 맛있어! 옥주부 반찬,18708.0,9.8,19800.0,16.0,268.0,786.0,185*240*20mm,가정 살림,2023-05-10,https://www.yes24.com//Product/Goods/118701354
호퍼 A-Z,13059.0,9.6,19800.0,8.0,160.0,508.0,148*210*20mm,예술,2023-04-20,https://www.yes24.com//Product/Goods/118534047
올빼미 기사 ,12393.0,10.0,13500.0,18.0,48.0,478.0,229*279*10mm,유아,2023-04-14,https://www.yes24.com//Product/Goods/118499360
2023 주택과 세금,29157.0,10.0,7000.0,2.0,347.0,,165*235*30mm,경제 경영,2023-04-14,https://www.yes24.com//Product/Goods/118439916
강남길의 명화와 함께 후루룩 읽는 그리스 로마 신화 1,15726.0,10.0,19800.0,2.0,472.0,978.0,170*222*22mm,역사,2023-01-25,https://www.yes24.com//Product/Goods/116868063
바로 써먹는 최강의 반도체 투자,29670.0,9.7,22500.0,36.0,400.0,700.0,152*225*25mm,경제 경영,2023-01-06,https://www.yes24.com//Product/Goods/116203326
트로피컬 나이트,54831.0,9.4,13500.0,60.0,312.0,346.0,128*188*30mm,소설/시/희곡,2022-08-17,https://www.yes24.com//Product/Goods/111704883
흔한남매 이상한 나라의 고전 읽기 1 ,108363.0,9.8,12600.0,70.0,148.0,500.0,155*216*15mm,어린이,2022-06-28,https://www.yes24.com//Product/Goods/110237646
아들의 뇌,60165.0,9.7,13500.0,49.0,320.0,566.0,152*210*20mm,가정 살림,2021-10-06,https://www.yes24.com//Product/Goods/104066204
바빌론 부자들의 돈 버는 지혜,10527.0,10.0,10350.0,30.0,248.0,338.0,128*188*15mm,경제 경영,2021-05-01,https://www.yes24.com//Product/Goods/99475045
ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,58506.0,9.6,16020.0,188.0,540.0,1338.0,210*280*35mm,국어 외국어 사전,2019-12-16,https://www.yes24.com//Product/Goods/84768485
눈사람 자살 사건,47343.0,9.8,11700.0,10.0,156.0,220.0,127*188*20mm,소설/시/희곡,2019-03-18,https://www.yes24.com//Product/Goods/70875765
해커스톡 왕초보 영어회화 10분의 기적 : 기초패턴으로 말하기,38286.0,9.4,10710.0,82.0,237.0,380.0,148*210*20mm,국어 외국어 사전,2018-10-05,https://www.yes24.com//Product/Goods/64703271
인생에서 너무 늦은 때란 없습니다,13338.0,9.1,12420.0,68.0,288.0,530.0,165*210*20mm,에세이,2017-12-16,https://www.yes24.com//Product/Goods/57555880
몽실 언니,33630.0,9.5,10620.0,40.0,300.0,528.0,152*225*20mm,어린이,2012-04-25,https://www.yes24.com//Product/Goods/6750104
왓칭 Watching,24651.0,8.6,11700.0,91.0,288.0,544.0,153*224*20mm,자기계발,2011-04-12,https://www.yes24.com//Product/Goods/4951662
세상에서 수학이 사라진다면,7032.0,,19800.0,,480.0,660.0,145*215*28mm,자연과학,2023-05-25,https://www.yes24.com//Product/Goods/119148224
벌거벗은 세계사 : 전쟁편 ,35061.0,9.4,20700.0,23.0,400.0,780.0,165*235*24mm,역사,2022-07-27,https://www.yes24.com//Product/Goods/111114279
벌거벗은 세계사 : 사건편,30771.0,9.4,20700.0,29.0,408.0,792.0,165*235*30mm,역사,2022-01-25,https://www.yes24.com//Product/Goods/106494868
8주간의 기적 여자 운동 편,4176.0,10.0,20700.0,1.0,320.0,892.0,190*230*20mm,건강 취미,2023-06-07,https://www.yes24.com//Product/Goods/119409980
카구야 님은 고백 받고 싶어 27 ,16875.0,10.0,5400.0,3.0,208.0,208.0,140*200*15mm,만화/라이트노벨,2023-05-25,https://www.yes24.com//Product/Goods/119132690
사소하지만 굉장한 어른의 뇌 사용법,4101.0,9.9,15300.0,14.0,252.0,312.0,128*188*16mm,자기계발,2023-05-26,https://www.yes24.com//Product/Goods/119132385
한국인의 마음속엔 우리가 있다,11511.0,9.4,15300.0,3.0,288.0,466.0,152*225*20mm,인문,2023-06-01,https://www.yes24.com//Product/Goods/119051480
코믹 문호 스트레이독스 23 ,22089.0,9.4,4950.0,3.0,168.0,168.0,126*180*12mm,만화/라이트노벨,2023-06-08,https://www.yes24.com//Product/Goods/119034475
2023/24 손해평가사 2차 이론서 해설,6120.0,,41400.0,,592.0,,210*297*25mm,수험서 자격증,2023-05-05,https://www.yes24.com//Product/Goods/118933435
철학자의 걷기 수업,11484.0,9.8,16920.0,43.0,272.0,438.0,145*210*17mm,인문,2023-05-15,https://www.yes24.com//Product/Goods/118922614
위기를 기회로 만드는 고수들의 투자 철학,10863.0,10.0,22500.0,1.0,404.0,612.0,150*220*25mm,경제 경영,2023-06-02,https://www.yes24.com//Product/Goods/118828066
내일은 실험왕 시즌2 6,12426.0,10.0,13050.0,45.0,172.0,613.0,188*257*20mm,어린이,2023-05-11,https://www.yes24.com//Product/Goods/118763243
프롬프트 엔지니어,14130.0,10.0,16200.0,5.0,260.0,442.0,150*220*15mm,경제 경영,2023-05-08,https://www.yes24.com//Product/Goods/118304109
2023 국가공인 재경관리사 세무회계,13794.0,,24300.0,,716.0,1442.0,188*257*35mm,수험서 자격증,2023-03-13,https://www.yes24.com//Product/Goods/117835788
오싹오싹 당근!,16224.0,10.0,12600.0,4.0,40.0,462.0,230*304*10mm,유아,2023-01-10,https://www.yes24.com//Product/Goods/116770641
읽으면서 바로 써먹는 어린이 급수 한자 6·7·8급,65646.0,10.0,11700.0,24.0,216.0,514.0,152*190*20mm,어린이,2022-11-21,https://www.yes24.com//Product/Goods/115296012
염증 해방,54432.0,9.6,16200.0,33.0,328.0,556.0,148*210*21mm,건강 취미,2022-11-10,https://www.yes24.com//Product/Goods/115181262
원피스 ONE PIECE 103,71994.0,9.6,4950.0,76.0,220.0,,128*188*20mm,만화/라이트노벨,2022-10-28,https://www.yes24.com//Product/Goods/114942162
최재천의 공부,144018.0,9.4,14850.0,98.0,304.0,446.0,148*210*30mm,인문,2022-05-18,https://www.yes24.com//Product/Goods/109322534
거의 모든 행동 표현의 영어,76740.0,9.8,18000.0,54.0,328.0,758.0,170*250*20mm,국어 외국어 사전,2022-03-10,https://www.yes24.com//Product/Goods/107904684
꽃잎 한 장처럼,21480.0,9.8,14400.0,57.0,368.0,590.0,140*207*25mm,에세이,2022-02-28,https://www.yes24.com//Product/Goods/107663314
피터 린치의 이기는 투자,17166.0,9.2,22500.0,6.0,576.0,988.0,152*225*35mm,경제 경영,2021-12-08,https://www.yes24.com//Product/Goods/105276837
일의 격,65067.0,9.2,16200.0,27.0,365.0,600.0,140*210*22mm,경제 경영,2021-07-01,https://www.yes24.com//Product/Goods/102485494
현명한 투자자 1,43641.0,9.6,20700.0,68.0,432.0,918.0,160*230*30mm,경제 경영,2020-05-26,https://www.yes24.com//Product/Goods/90299861
파과,35268.0,9.1,12600.0,114.0,344.0,432.0,128*188*30mm,소설/시/희곡,2018-04-16,https://www.yes24.com//Product/Goods/59990444
나목,8364.0,9.0,12600.0,28.0,396.0,550.0,148*210*30mm,소설/시/희곡,2012-01-22,https://www.yes24.com//Product/Goods/6259929
프린들 주세요,43458.0,9.4,8550.0,47.0,154.0,296.0,154*210*20mm,어린이,2001-12-31,https://www.yes24.com//Product/Goods/241709
샬롯의 거미줄,47463.0,9.3,9900.0,146.0,242.0,432.0,152*223*20mm,어린이,2000-12-31,https://www.yes24.com//Product/Goods/176008
디스 이즈 오사카 (THIS IS OSAKA),7656.0,9.8,17820.0,17.0,584.0,714.0,151*215*35mm,건강 취미,2023-05-23,https://www.yes24.com//Product/Goods/118937365
평생 써먹는 기적의 운동 20,9042.0,9.8,15750.0,28.0,268.0,398.0,152*225*20mm,건강 취미,2023-05-17,https://www.yes24.com//Product/Goods/118856609
2024 해커스경찰 조현 경찰학 기본서 ,13050.0,,43200.0,,684.0,,210*260*35mm,수험서 자격증,2023-05-08,https://www.yes24.com//Product/Goods/118631236
최강의 배당연금 투자,15672.0,9.6,19800.0,27.0,280.0,,150*210*20mm,경제 경영,2023-04-26,https://www.yes24.com//Product/Goods/118569072
봇치·더·록! 5 ,38109.0,10.0,7200.0,14.0,120.0,120.0,148*210*20mm,만화/라이트노벨,2023-05-10,https://www.yes24.com//Product/Goods/118525316
영어 필사 100일의 기적 (스프링 제본),11961.0,9.7,16200.0,12.0,232.0,442.0,152*225*15mm,국어 외국어 사전,2023-04-25,https://www.yes24.com//Product/Goods/118500567
당신이 모르는 민주주의,21540.0,9.4,18000.0,22.0,440.0,784.0,152*224*25mm,사회 정치,2023-03-16,https://www.yes24.com//Product/Goods/117948245
2023 에듀윌 위험물산업기사 실기 2주끝장,14148.0,10.0,23400.0,14.0,272.0,,205*260*20mm,수험서 자격증,2023-02-17,https://www.yes24.com//Product/Goods/117480760
맛있는 디자인 포토샵&일러스트레이터 CC 2023,16809.0,9.9,20700.0,30.0,544.0,1126.0,188*257*21mm,IT 모바일,2023-01-31,https://www.yes24.com//Product/Goods/117024821
이과형의 만만한 과학책,24162.0,9.3,16020.0,18.0,296.0,456.0,140*210*20mm,자연과학,2023-01-16,https://www.yes24.com//Product/Goods/116859646
베싸육아,43392.0,9.9,19800.0,17.0,480.0,928.0,170*225*30mm,가정 살림,2023-01-18,https://www.yes24.com//Product/Goods/116745219
2023 에듀윌 공인중개사 심정욱 합격서 민법 및 민사특별법,47718.0,10.0,14400.0,19.0,184.0,,205*260*20mm,수험서 자격증,2023-01-08,https://www.yes24.com//Product/Goods/116207839
2023 에듀윌 직업상담사 2급 1차 6개년 기출문제집,13197.0,9.4,27900.0,3.0,732.0,,188*257*40mm,수험서 자격증,2022-10-27,https://www.yes24.com//Product/Goods/114916583
2023 시나공 정보처리기사 필기,35019.0,9.3,31500.0,8.0,1148.0,2232.0,188*243*46mm,IT 모바일,2022-10-11,https://www.yes24.com//Product/Goods/114335478
글루코스 혁명,35079.0,9.8,16200.0,17.0,356.0,,152*224*30mm,건강 취미,2022-07-12,https://www.yes24.com//Product/Goods/110583033
유럽 도시 기행 2,150978.0,9.6,15750.0,37.0,316.0,512.0,145*210*20mm,역사,2022-07-09,https://www.yes24.com//Product/Goods/110243751
채사장의 지대넓얕 3 : 폭력의 시대 ,57933.0,10.0,13500.0,41.0,168.0,480.0,153*210*14mm,어린이,2022-04-30,https://www.yes24.com//Product/Goods/108889996
안녕! 내 친구 코야,26148.0,8.0,25650.0,4.0,6.0,,223*170mm,유아,2021-08-01,https://www.yes24.com//Product/Goods/103937322
더 시스템 THE SYSTEM,49116.0,9.3,14400.0,52.0,384.0,644.0,150*213*30mm,자기계발,2020-07-14,https://www.yes24.com//Product/Goods/91159620
가재가 노래하는 곳,71949.0,9.3,14400.0,244.0,464.0,590.0,140*210*30mm,소설/시/희곡,2019-06-14,https://www.yes24.com//Product/Goods/74394249
마당이 있는 집,11520.0,9.1,12420.0,45.0,388.0,410.0,128*188*30mm,소설/시/희곡,2018-04-30,https://www.yes24.com//Product/Goods/60550872
공부머리 독서법,50163.0,9.5,14850.0,371.0,344.0,590.0,147*223*20mm,가정 살림,2018-05-03,https://www.yes24.com//Product/Goods/59993940
우리는 언제나 다시 만나,61722.0,9.8,10800.0,234.0,40.0,390.0,231*265*10mm,유아,2017-07-20,https://www.yes24.com//Product/Goods/43862350
호모 데우스,30795.0,9.2,19800.0,183.0,630.0,988.0,140*210*35mm,인문,2017-05-15,https://www.yes24.com//Product/Goods/39404092
수레바퀴 아래서 : 오리지널 초판본 표지디자인,15153.0,9.5,3300.0,4.0,240.0,340.0,130*190*20mm,소설/시/희곡,2017-01-01,https://www.yes24.com//Product/Goods/34705576
Bricks Reading 200 L1,49959.0,9.4,13500.0,35.0,169.0,,188*254*20mm,국어 외국어 사전,2013-04-03,https://www.yes24.com//Product/Goods/8709538
동물농장,68100.0,9.2,7200.0,267.0,159.0,290.0,132*225*20mm,소설/시/희곡,2001-02-28,https://www.yes24.com//Product/Goods/17352
나의 꿈 월천족,2808.0,,15300.0,,240.0,394.0,153*225*16mm,경제 경영,2023-06-12,https://www.yes24.com//Product/Goods/119330532
사회주의자로 산다는 것,5094.0,10.0,15120.0,3.0,252.0,296.0,125*200*17mm,인문,2023-06-10,https://www.yes24.com//Product/Goods/119181643
완벽한 계란 후라이 주세요,5499.0,10.0,13500.0,24.0,44.0,372.0,212*244*10mm,유아,2023-06-10,https://www.yes24.com//Product/Goods/119135021
예썰의 전당 : 서양미술 편 ,8409.0,9.8,16650.0,41.0,360.0,596.0,150*210*22mm,예술,2023-05-15,https://www.yes24.com//Product/Goods/118855323
2024 문동균 한국사 All in one,5160.0,,40500.0,,928.0,,205*260*40mm,수험서 자격증,2023-05-17,https://www.yes24.com//Product/Goods/118763579
2024 조태정 영어 Re-base 기초 영어,5664.0,10.0,18000.0,1.0,304.0,,205*260*30mm,수험서 자격증,2023-05-04,https://www.yes24.com//Product/Goods/118677042
느티나무 수호대,11592.0,9.9,12600.0,22.0,268.0,420.0,140*210*16mm,청소년,2023-03-31,https://www.yes24.com//Product/Goods/118165324
2023 에듀윌 공인중개사 임선정 그림 암기법(공인중개사법령 및 중개실무),19917.0,10.0,12600.0,28.0,132.0,,188*257*20mm,수험서 자격증,2023-03-31,https://www.yes24.com//Product/Goods/117975689
Go Go 카카오프렌즈 27 스위스,51048.0,10.0,13320.0,18.0,168.0,464.0,188*257*10mm,어린이,2023-02-15,https://www.yes24.com//Product/Goods/117441442
만화 나 혼자만 레벨업 7 ,40089.0,9.9,13500.0,9.0,306.0,536.0,150*210*18mm,만화/라이트노벨,2023-02-22,https://www.yes24.com//Product/Goods/117243156
2023 에듀윌 공인중개사 2차 2교시 단원별 기출문제집,29052.0,10.0,20700.0,25.0,512.0,,188*257*35mm,수험서 자격증,2023-01-31,https://www.yes24.com//Product/Goods/117165915
하루 10분 100일의 영어 필사,11952.0,9.9,13950.0,10.0,232.0,290.0,140*204*13mm,국어 외국어 사전,2023-01-15,https://www.yes24.com//Product/Goods/116576078
우리는 왜 타인의 욕망을 욕망하는가,10047.0,9.6,15300.0,31.0,216.0,292.0,128*188*13mm,인문,2022-12-27,https://www.yes24.com//Product/Goods/116575282
2023 에듀윌 공인중개사 이영방 합격서 부동산학개론,46227.0,10.0,14400.0,21.0,192.0,,188*257*20mm,수험서 자격증,2023-01-08,https://www.yes24.com//Product/Goods/116037471
2023 산업위생관리기사 필기+무료동영상+핸드북,16149.0,10.0,32400.0,4.0,1227.0,,188*257*60mm,수험서 자격증,2023-01-10,https://www.yes24.com//Product/Goods/115312256
슬픔이 택배로 왔다,45303.0,9.6,9900.0,15.0,192.0,218.0,125*200*20mm,소설/시/희곡,2022-09-23,https://www.yes24.com//Product/Goods/113420159
2022·2023 큰별쌤과 재미있게 공부하는 초등 한국사능력검정시험,51396.0,10.0,16650.0,6.0,328.0,,225*300*30mm,수험서 자격증,2022-06-14,https://www.yes24.com//Product/Goods/110104732
읽으면서 바로 써먹는 어린이 한국사 퀴즈 2,40563.0,10.0,10800.0,35.0,224.0,604.0,152*190*30mm,어린이,2022-03-15,https://www.yes24.com//Product/Goods/107995570
나는 나로 살기로 했다,56754.0,8.9,14400.0,21.0,312.0,430.0,140*190*17mm,에세이,2022-02-04,https://www.yes24.com//Product/Goods/106540460
강성태 66일 영어회화,54783.0,9.4,15300.0,137.0,320.0,648.0,148*210*25mm,국어 외국어 사전,2021-12-24,https://www.yes24.com//Product/Goods/105751059
ETS 토익 정기시험 기출입문서 LC 리스닝,49560.0,9.6,13500.0,5.0,600.0,1262.0,188*257*25mm,국어 외국어 사전,2021-12-13,https://www.yes24.com//Product/Goods/105385003
흔한남매 과학 탐험대 3 인체,69966.0,9.6,11520.0,41.0,212.0,690.0,184*249*15mm,어린이,2021-11-30,https://www.yes24.com//Product/Goods/105295242
열방약국 유방암 상담소,48024.0,9.7,14400.0,20.0,280.0,442.0,148*210*18mm,건강 취미,2021-11-12,https://www.yes24.com//Product/Goods/105049844
재와 물거품,30552.0,8.6,9000.0,32.0,176.0,164.0,102*182*13mm,소설/시/희곡,2021-05-31,https://www.yes24.com//Product/Goods/101965629
단순하게 살아라,14466.0,10.0,13320.0,3.0,300.0,520.0,150*225*20mm,자기계발,2021-02-25,https://www.yes24.com//Product/Goods/97652728
수학 잘하는 아이는 이렇게 공부합니다,42897.0,9.6,15120.0,65.0,336.0,508.0,147*223*21mm,가정 살림,2022-12-09,https://www.yes24.com//Product/Goods/97242874
마음이 흐르는 대로,65817.0,9.4,14400.0,73.0,308.0,464.0,135*188*24mm,에세이,2020-11-23,https://www.yes24.com//Product/Goods/95719593
퇴근 후 스마트스토어로 투잡하기,41712.0,9.8,25200.0,827.0,508.0,965.0,188*245*35mm,IT 모바일,2020-09-25,https://www.yes24.com//Product/Goods/93068762
해리포터와 마법사의 돌 1,41955.0,9.7,8100.0,44.0,268.0,290.0,128*197*15mm,소설/시/희곡,2019-11-19,https://www.yes24.com//Product/Goods/82935976
어떻게 살아야 할지 막막한 너에게,51045.0,9.5,13950.0,80.0,336.0,470.0,148*210*22mm,자기계발,2019-08-16,https://www.yes24.com//Product/Goods/77272418
선량한 차별주의자,56397.0,8.8,13500.0,159.0,244.0,324.0,140*210*16mm,사회 정치,2019-07-17,https://www.yes24.com//Product/Goods/76470464
종의 기원,45696.0,9.3,19800.0,19.0,656.0,770.0,135*195*40mm,자연과학,2019-07-31,https://www.yes24.com//Product/Goods/76185005
우울할 땐 뇌 과학,34548.0,9.0,15300.0,97.0,336.0,542.0,145*215*30mm,인문,2018-03-12,https://www.yes24.com//Product/Goods/58787793
종의 기원,35838.0,8.8,11700.0,367.0,384.0,518.0,150*210*30mm,소설/시/희곡,2016-05-14,https://www.yes24.com//Product/Goods/27643793
기브 앤 테이크,73284.0,8.9,15750.0,109.0,464.0,670.0,153*224*30mm,자기계발,2013-06-07,https://www.yes24.com//Product/Goods/8949343
틀려도 괜찮아,52545.0,9.0,11700.0,94.0,32.0,385.0,208*246*15mm,유아,2006-02-10,https://www.yes24.com//Product/Goods/1953816
수상한 교장실,19158.0,10.0,11700.0,52.0,220.0,382.0,152*210*12mm,어린이,2023-04-20,https://www.yes24.com//Product/Goods/118338566
"돈을 찍어내는 제왕, 연준 ",8121.0,9.7,22500.0,31.0,468.0,726.0,150*225*29mm,경제 경영,2023-05-25,https://www.yes24.com//Product/Goods/119017794
DO IT 두 잇,39159.0,9.7,18000.0,3.0,352.0,624.0,153*224*22mm,종교,2023-02-13,https://www.yes24.com//Product/Goods/117516358
독서의 기록,4080.0,10.0,16200.0,1.0,268.0,,128*188*20mm,자기계발,2023-06-15,https://www.yes24.com//Product/Goods/119609592
2024 신용한 행정학,4362.0,10.0,44100.0,1.0,1056.0,,210*264*60mm,수험서 자격증,2023-06-05,https://www.yes24.com//Product/Goods/119184609
챗GPT 빅 웨이브 ,9162.0,9.3,16200.0,22.0,244.0,414.0,145*212*17mm,경제 경영,2023-05-15,https://www.yes24.com//Product/Goods/118709955
자신의 존재에 대해 사과하지 말 것,15465.0,9.8,16920.0,87.0,320.0,406.0,135*210*22mm,자연과학,2023-04-12,https://www.yes24.com//Product/Goods/118282677
이 다정함이 모여 아주 조금만 더 행복해지길,16482.0,9.6,13950.0,36.0,232.0,348.0,128*180*20mm,에세이,2023-02-06,https://www.yes24.com//Product/Goods/117181623
2023 에듀윌 공인중개사 2차 1교시 단원별 기출문제집,30906.0,10.0,26100.0,35.0,920.0,,188*257*40mm,수험서 자격증,2023-01-31,https://www.yes24.com//Product/Goods/117165864
2023 해커스 민간경력자 PSAT 12개년 기출문제집,19914.0,9.6,25110.0,4.0,820.0,,210*297*40mm,수험서 자격증,2022-08-26,https://www.yes24.com//Product/Goods/112078012
주식투자의 지혜,40512.0,9.2,16200.0,27.0,400.0,596.0,140*210*23mm,경제 경영,2021-06-01,https://www.yes24.com//Product/Goods/101921231
미꽃체 손글씨 노트,49851.0,9.2,10800.0,35.0,160.0,418.0,188*255*10mm,건강 취미,2021-06-07,https://www.yes24.com//Product/Goods/101815557
날씨의 아이 (일러스트 에디션),21417.0,9.8,11700.0,7.0,344.0,368.0,130*188*30mm,소설/시/희곡,2020-10-30,https://www.yes24.com//Product/Goods/94384663
어린 왕자 오리지널 초판본,8415.0,10.0,3300.0,1.0,152.0,252.0,130*190*11mm,소설/시/희곡,2020-09-22,https://www.yes24.com//Product/Goods/93082287
까면서 보는 해부학 만화,9060.0,9.4,16650.0,56.0,304.0,596.0,152*225*30mm,자연과학,2020-06-19,https://www.yes24.com//Product/Goods/90473396
지구에서 한아뿐,34230.0,9.2,11700.0,163.0,228.0,296.0,130*195*15mm,소설/시/희곡,2019-07-31,https://www.yes24.com//Product/Goods/76106687
시작의 기술,57645.0,9.2,14400.0,150.0,228.0,384.0,130*210*22mm,자기계발,2019-04-18,https://www.yes24.com//Product/Goods/72127469
나는 개다,25119.0,9.8,11700.0,111.0,48.0,400.0,210*270*15mm,유아,2019-04-15,https://www.yes24.com//Product/Goods/71923747
불량한 자전거 여행 2,53259.0,9.5,9720.0,14.0,184.0,328.0,152*225*20mm,어린이,2019-01-11,https://www.yes24.com//Product/Goods/68785019
철학은 어떻게 삶의 무기가 되는가,42474.0,9.2,14400.0,262.0,336.0,560.0,152*215*30mm,인문,2019-01-22,https://www.yes24.com//Product/Goods/68749139
나혼자 끝내는 독학 스페인어 첫걸음,33801.0,9.2,13500.0,49.0,192.0,570.0,188*257mm,국어 외국어 사전,2017-09-25,https://www.yes24.com//Product/Goods/50312619
오늘부터 배프! 베프!,58461.0,9.9,9000.0,20.0,104.0,226.0,170*220*8mm,어린이,2021-09-08,https://www.yes24.com//Product/Goods/103616546
야노 군의 평범한 나날 4 ,2460.0,,5400.0,,176.0,176.0,128*183*20mm,만화/라이트노벨,2023-07-25,https://www.yes24.com//Product/Goods/119562767
2023 국세청 세금절약가이드 2 ,9141.0,10.0,7000.0,1.0,236.0,,165*235*20mm,경제 경영,2023-05-20,https://www.yes24.com//Product/Goods/118807015
우리가 겨울을 지나온 방식,8961.0,9.8,12600.0,39.0,260.0,322.0,135*200*20mm,소설/시/희곡,2023-05-09,https://www.yes24.com//Product/Goods/118785110
영어 회화의 결정적 구동사들,10584.0,10.0,16200.0,5.0,298.0,506.0,148*210*16mm,국어 외국어 사전,2023-05-10,https://www.yes24.com//Product/Goods/118758757
천국대마경 8 ,5658.0,10.0,5400.0,4.0,192.0,208.0,128*180*14mm,만화/라이트노벨,2023-05-11,https://www.yes24.com//Product/Goods/118610981
진화하는 언어,16806.0,9.6,21600.0,4.0,448.0,660.0,150*220*23mm,인문,2023-04-15,https://www.yes24.com//Product/Goods/118302841
2023 국가공인 재경관리사 K-IFRS 재무회계 ,11316.0,,25650.0,,692.0,1512.0,188*257*38mm,수험서 자격증,2023-02-10,https://www.yes24.com//Product/Goods/117246899
사피엔스 (양장 특별판),43929.0,9.6,27000.0,18.0,648.0,1080.0,152*215*35mm,인문,2023-01-27,https://www.yes24.com//Product/Goods/116859268
1페이지 마케팅 플랜,27714.0,9.5,16020.0,26.0,356.0,550.0,145*210*22mm,경제 경영,2022-12-16,https://www.yes24.com//Product/Goods/116413780
80세의 벽,38112.0,9.7,14220.0,11.0,224.0,320.0,135*195*14mm,자기계발,2022-12-21,https://www.yes24.com//Product/Goods/116193549
네모아저씨의 페이퍼 블레이드 5 마스터십,73386.0,9.8,10350.0,12.0,160.0,444.0,190*220*10mm,어린이,2022-12-19,https://www.yes24.com//Product/Goods/116047025
기소영의 친구들,26139.0,9.9,10800.0,30.0,152.0,268.0,147*210*10mm,어린이,2022-10-25,https://www.yes24.com//Product/Goods/115058743
나의 사주명리,26145.0,9.5,16200.0,13.0,296.0,456.0,138*210*18mm,인문,2022-11-04,https://www.yes24.com//Product/Goods/115027802
해커스 지텔프 최신기출유형 실전문제집 7회 (Level 2),16818.0,10.0,20700.0,5.0,584.0,324.0,188*257*35mm,국어 외국어 사전,2022-10-28,https://www.yes24.com//Product/Goods/114942252
흔한남매의 흔한 호기심 7,87885.0,10.0,12600.0,65.0,164.0,460.0,188*257*9mm,어린이,2022-10-12,https://www.yes24.com//Product/Goods/113738251
푸른 사자 와니니 4,104856.0,10.0,10800.0,21.0,212.0,386.0,152*225*12mm,어린이,2022-08-19,https://www.yes24.com//Product/Goods/112197894
나를 살게 하는 것들,35922.0,9.7,14400.0,19.0,272.0,440.0,138*210*18mm,자기계발,2022-07-07,https://www.yes24.com//Product/Goods/110345823
가라오케 가자!,22173.0,9.8,7650.0,99.0,164.0,222.0,140*200*12mm,만화/라이트노벨,2022-04-14,https://www.yes24.com//Product/Goods/108803378
무조건 팔리는 카피 단어장,35181.0,9.3,15750.0,31.0,256.0,526.0,182*210*15mm,자기계발,2021-03-22,https://www.yes24.com//Product/Goods/98799454
천국대마경 3,2550.0,7.7,4950.0,3.0,192.0,212.0,128*180*20mm,만화/라이트노벨,2020-03-06,https://www.yes24.com//Product/Goods/89240162
사랑의 기술,51303.0,9.1,14400.0,50.0,232.0,328.0,140*198*18mm,에세이,2019-09-01,https://www.yes24.com//Product/Goods/77728036
고구마구마,47754.0,9.8,11700.0,28.0,40.0,328.0,200*253*8mm,유아,2017-02-27,https://www.yes24.com//Product/Goods/36452643
몰입 두 번째 이야기,15261.0,9.0,18000.0,75.0,400.0,594.0,153*220*30mm,자기계발,2011-05-06,https://www.yes24.com//Product/Goods/5063255
연금술사,44775.0,8.6,10800.0,690.0,284.0,386.0,128*188*20mm,소설/시/희곡,2001-12-01,https://www.yes24.com//Product/Goods/240525
선생님이 먼저 배우는 챗GPT,2820.0,,16200.0,,360.0,,150*225*30mm,사회 정치,2023-06-16,https://www.yes24.com//Product/Goods/119588987
파괴자들의 밤 ,2694.0,10.0,14400.0,1.0,358.0,426.0,130*205*30mm,소설/시/희곡,2023-06-05,https://www.yes24.com//Product/Goods/119408321
우리들의 MBTI 4 : 학습 유형,7215.0,10.0,13500.0,26.0,176.0,460.0,153*220*20mm,어린이,2023-05-17,https://www.yes24.com//Product/Goods/118927225
고양이와 사막의 자매들,3384.0,,13500.0,,316.0,,122*205*30mm,소설/시/희곡,2023-06-06,https://www.yes24.com//Product/Goods/119503441
2024 심슨 구문,3342.0,,13500.0,,220.0,,205*260*9mm,수험서 자격증,2023-06-05,https://www.yes24.com//Product/Goods/119311368
"아파트, 이 가격 오면 사라",7404.0,,16200.0,,276.0,462.0,147*215*17mm,경제 경영,2023-06-05,https://www.yes24.com//Product/Goods/119181297
52주의 숄,11112.0,9.8,29700.0,5.0,272.0,1440.0,210*270*30mm,건강 취미,2023-05-23,https://www.yes24.com//Product/Goods/118922138
해커스군무원 행정직 FINAL 봉투모의고사(국어+행정법+행정학) 5회분,4566.0,10.0,18000.0,1.0,238.0,,257*364*20mm,수험서 자격증,2023-04-10,https://www.yes24.com//Product/Goods/118287379
2023 유튜버 챕스랜드 소방안전관리자1급 찐정리 개념서+기출문제 2회분 포함,12387.0,,25200.0,,312.0,724.0,210*297*14mm,수험서 자격증,2023-04-10,https://www.yes24.com//Product/Goods/118083877
